placement,match_id,augment0,augment1,augment2,Set7_Assassin,Set7_Astral,Set7_Bard,Set7_Bruiser,Set7_Cannoneer,Set7_Cavalier,Set7_Dragon,Set7_Dragonmancer,Set7_Evoker,Set7_Guardian,Set7_Guild,Set7_Jade,Set7_Legend,Set7_Mage,Set7_Mirage,Set7_Mystic,Set7_Ragewing,Set7_Revel,Set7_Scalescorn,Set7_Shapeshifter,Set7_Shimmerscale,Set7_SpellThief,Set7_Starcaller,Set7_Swiftshot,Set7_Tempest,Set7_Trainer,Set7_Warrior,Set7_Whispers,TFT7_Aatrox,TFT7_Aatrox_item0,TFT7_Aatrox_item1,TFT7_Aatrox_item2,TFT7_Anivia,TFT7_Anivia_item0,TFT7_Anivia_item1,TFT7_Anivia_item2,TFT7_AoShin,TFT7_AoShin_item0,TFT7_AoShin_item1,TFT7_AoShin_item2,TFT7_Ashe,TFT7_Ashe_item0,TFT7_Ashe_item1,TFT7_Ashe_item2,TFT7_AurelionSol,TFT7_AurelionSol_item0,TFT7_AurelionSol_item1,TFT7_AurelionSol_item2,TFT7_Bard,TFT7_Bard_item0,TFT7_Bard_item1,TFT7_Bard_item2,TFT7_Braum,TFT7_Braum_item0,TFT7_Braum_item1,TFT7_Braum_item2,TFT7_Corki,TFT7_Corki_item0,TFT7_Corki_item1,TFT7_Corki_item2,TFT7_Diana,TFT7_Diana_item0,TFT7_Diana_item1,TFT7_Diana_item2,TFT7_DragonBlue,TFT7_DragonBlue_item0,TFT7_DragonBlue_item1,TFT7_DragonBlue_item2,TFT7_DragonGold,TFT7_DragonGold_item0,TFT7_DragonGold_item1,TFT7_DragonGold_item2,TFT7_DragonGreen,TFT7_DragonGreen_item0,TFT7_DragonGreen_item1,TFT7_DragonGreen_item2,TFT7_DragonPurple,TFT7_DragonPurple_item0,TFT7_DragonPurple_item1,TFT7_DragonPurple_item2,TFT7_Elise,TFT7_Elise_item0,TFT7_Elise_item1,TFT7_Elise_item2,TFT7_Ezreal,TFT7_Ezreal_item0,TFT7_Ezreal_item1,TFT7_Ezreal_item2,TFT7_Gnar,TFT7_Gnar_item0,TFT7_Gnar_item1,TFT7_Gnar_item2,TFT7_Hecarim,TFT7_Hecarim_item0,TFT7_Hecarim_item1,TFT7_Hecarim_item2,TFT7_Heimerdinger,TFT7_Heimerdinger_item0,TFT7_Heimerdinger_item1,TFT7_Heimerdinger_item2,TFT7_Illaoi,TFT7_Illaoi_item0,TFT7_Illaoi_item1,TFT7_Illaoi_item2,TFT7_Jinx,TFT7_Jinx_item0,TFT7_Jinx_item1,TFT7_Jinx_item2,TFT7_Karma,TFT7_Karma_item0,TFT7_Karma_item1,TFT7_Karma_item2,TFT7_Kayn,TFT7_Kayn_item0,TFT7_Kayn_item1,TFT7_Kayn_item2,TFT7_LeeSin,TFT7_LeeSin_item0,TFT7_LeeSin_item1,TFT7_LeeSin_item2,TFT7_Leona,TFT7_Leona_item0,TFT7_Leona_item1,TFT7_Leona_item2,TFT7_Lillia,TFT7_Lillia_item0,TFT7_Lillia_item1,TFT7_Lillia_item2,TFT7_Lulu,TFT7_Lulu_item0,TFT7_Lulu_item1,TFT7_Lulu_item2,TFT7_Nami,TFT7_Nami_item0,TFT7_Nami_item1,TFT7_Nami_item2,TFT7_Neeko,TFT7_Neeko_item0,TFT7_Neeko_item1,TFT7_Neeko_item2,TFT7_Nidalee,TFT7_Nidalee_item0,TFT7_Nidalee_item1,TFT7_Nidalee_item2,TFT7_Nunu,TFT7_Nunu_item0,TFT7_Nunu_item1,TFT7_Nunu_item2,TFT7_Olaf,TFT7_Olaf_item0,TFT7_Olaf_item1,TFT7_Olaf_item2,TFT7_Ornn,TFT7_Ornn_item0,TFT7_Ornn_item1,TFT7_Ornn_item2,TFT7_Pyke,TFT7_Pyke_item0,TFT7_Pyke_item1,TFT7_Pyke_item2,TFT7_Qiyana,TFT7_Qiyana_item0,TFT7_Qiyana_item1,TFT7_Qiyana_item2,TFT7_Ryze,TFT7_Ryze_item0,TFT7_Ryze_item1,TFT7_Ryze_item2,TFT7_Sejuani,TFT7_Sejuani_item0,TFT7_Sejuani_item1,TFT7_Sejuani_item2,TFT7_Senna,TFT7_Senna_item0,TFT7_Senna_item1,TFT7_Senna_item2,TFT7_Sett,TFT7_Sett_item0,TFT7_Sett_item1,TFT7_Sett_item2,TFT7_Shen,TFT7_Shen_item0,TFT7_Shen_item1,TFT7_Shen_item2,TFT7_Shyvana,TFT7_Shyvana_item0,TFT7_Shyvana_item1,TFT7_Shyvana_item2,TFT7_Skarner,TFT7_Skarner_item0,TFT7_Skarner_item1,TFT7_Skarner_item2,TFT7_Sona,TFT7_Sona_item0,TFT7_Sona_item1,TFT7_Sona_item2,TFT7_Soraka,TFT7_Soraka_item0,TFT7_Soraka_item1,TFT7_Soraka_item2,TFT7_Swain,TFT7_Swain_item0,TFT7_Swain_item1,TFT7_Swain_item2,TFT7_Sylas,TFT7_Sylas_item0,TFT7_Sylas_item1,TFT7_Sylas_item2,TFT7_TahmKench,TFT7_TahmKench_item0,TFT7_TahmKench_item1,TFT7_TahmKench_item2,TFT7_Talon,TFT7_Talon_item0,TFT7_Talon_item1,TFT7_Talon_item2,TFT7_Taric,TFT7_Taric_item0,TFT7_Taric_item1,TFT7_Taric_item2,TFT7_Thresh,TFT7_Thresh_item0,TFT7_Thresh_item1,TFT7_Thresh_item2,TFT7_TrainerDragon,TFT7_TrainerDragon_item0,TFT7_TrainerDragon_item1,TFT7_TrainerDragon_item2,TFT7_Tristana,TFT7_Tristana_item0,TFT7_Tristana_item1,TFT7_Tristana_item2,TFT7_Twitch,TFT7_Twitch_item0,TFT7_Twitch_item1,TFT7_Twitch_item2,TFT7_Varus,TFT7_Varus_item0,TFT7_Varus_item1,TFT7_Varus_item2,TFT7_Vladimir,TFT7_Vladimir_item0,TFT7_Vladimir_item1,TFT7_Vladimir_item2,TFT7_Volibear,TFT7_Volibear_item0,TFT7_Volibear_item1,TFT7_Volibear_item2,TFT7_Xayah,TFT7_Xayah_item0,TFT7_Xayah_item1,TFT7_Xayah_item2,TFT7_Yasuo,TFT7_Yasuo_item0,TFT7_Yasuo_item1,TFT7_Yasuo_item2,TFT7_Yone,TFT7_Yone_item0,TFT7_Yone_item1,TFT7_Yone_item2,TFT7_Zoe,TFT7_Zoe_item0,TFT7_Zoe_item1,TFT7_Zoe_item2
6,NA1_4376512589,TFT7_Augment_ShapeshifterBeastsDen,TFT6_Augment_Twins2,TFT6_Augment_FuturePeepers,,1.0,,1.0,,,,,,,,0.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Zephyr,,,,,,,,,,,2.0,RedBuff,DragonsClaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,ThiefsGloves,GuinsoosRageblade,Quicksilver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Bloodthirster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,NA1_4376512589,TFT7_Augment_CavalierEmblem,TFT6_Augment_Ascension,TFT7_Augment_MageEmblem,,,,1.0,,2.0,1.0,0.0,,,,0.0,0.0,1.0,0.0,,,,0.0,1.0,,,,,2.0,,0.0,1.0,,,,,,,,,1.0,MageEmblemItem,JeweledGauntlet,SpearOfShojin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ZekesHerald,CavalierEmblemItem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,2.0,RedBuff,IonicSpark,,,,,,,,,,,,,,1.0,Shroud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,TitansResolve,RedBuff,CavalierEmblemItem,,,,,,,,,,,,,,,,,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ThiefsGloves,SparringGloves,InfinityEdge,,,,,,,,
5,NA1_4376000593,TFT6_Augment_ThrillOfTheHunt2,TFT7_Augment_GadgetExpert,TFT7_Augment_BestFriends2,,,,1.0,,0.0,1.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,,0.0,,,,,2.0,,0.0,,,,,,,,,,1.0,ArchangelsStaff,StatikkShiv,GuinsoosRageblade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,StatikkShiv,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,TitansResolve,Zephyr,RedBuff,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,2.0,PowerGauntlet,StatikkShiv,ZekesHerald,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,NA1_4376000593,TFT7_Augment_JadeTrait,TFT6_Augment_ComponentGrabBag,TFT6_Augment_CelestialBlessing2,0.0,0.0,1.0,,,,1.0,,,,2.0,2.0,,,,1.0,,,,2.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,UnstableConcoction,Bloodthirster,InfinityEdge,,,,,2.0,NeedlesslyLargeRod,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,RedBuff,FrozenHeart,Zephyr,3.0,GuinsoosRageblade,Deathblade,Quicksilver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,ZekesHerald,,,,,,,,,,,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,NA1_4376000593,TFT6_Augment_Electrocharge2,TFT6_Augment_Meditation2,TFT6_Augment_ThrillOfTheHunt2,1.0,,,1.0,,1.0,,,,,3.0,,0.0,,,,1.0,,,,,,,1.0,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,1.0,,,,,,,,2.0,IonicSpark,Bloodthirster,FrozenHeart,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Shroud,UnstableConcoction,TitansResolve,,,,,,,,,,,None,None,,,,,2.0,,,,,,,,,,,,,,,,2.0,MadredsBloodrazor,InfinityEdge,Deathblade,,,,,,,,,,,,
8,NA1_4376000593,TFT7_Augment_MageEmblem,TFT7_Augment_BestFriends2,TFT7_Augment_AxiomArc2,,1.0,,1.0,,0.0,,,,,1.0,,,3.0,,0.0,,,0.0,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,2.0,MageEmblemItem,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,2.0,SpearOfShojin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,GuinsoosRageblade,SpearOfShojin,MadredsBloodrazor,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,2.0,RedBuff,TitanicHydra,TitansResolve,,,,,,,,,,,,,,,,,,,None,None,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
6,NA1_4376000593,TFT6_Augment_TrueTwos,TFT7_Augment_MageEmblem,TFT7_Augment_GadgetExpert,,1.0,,1.0,,0.0,,,0.0,,1.0,,,3.0,,1.0,,,0.0,,,,,,,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,BFSword,,,2.0,MageEmblemItem,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,Chalice,ZekesHerald,,3.0,StatikkShiv,ArchangelsStaff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ArchangelsStaff,SpearOfShojin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,BrambleVest,RedBuff,,,,,,,,,,,,,,,,,,2.0,TrainerSnax,None,None,,,,,,,,,,,,,2.0,Shroud,,,,,,,,,,,,,,,,,,,,,,
7,NA1_4376000593,TFT6_Augment_ClearMind,TFT6_Augment_ComponentGrabBag,TFT6_Augment_ThrillOfTheHunt2,,0.0,,1.0,,,,,1.0,,1.0,,0.0,2.0,,1.0,,0.0,,,0.0,1.0,,,0.0,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,Zephyr,,,,,,,,,,,,,,,,,,,2.0,FrozenHeart,TitanicHydra,,,,,,,,,,2.0,SpearOfShojin,UnstableConcoction,ArchangelsStaff,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,2.0,GargoyleStoneplate,Shroud,RedBuff,,,,,,,,,,,,,,,,,1.0,TrainerSnax,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,GuinsoosRageblade,,
2,NA1_4376000593,TFT6_Augment_MetabolicAccelerator,TFT7_Augment_BestFriends2,TFT6_Augment_SecondWind2,,1.0,,1.0,,,,,1.0,,1.0,,,1.0,,1.0,,0.0,,,0.0,1.0,,1.0,,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,3.0,RedBuff,IonicSpark,GargoyleStoneplate,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,3.0,ArchangelsStaff,UnstableConcoction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,2.0,TitansResolve,,,,,,,,,,,,,,,,,,,3.0,TrainerSnax,None,None,,,,,2.0,,,,3.0,GuinsoosRageblade,RunaansHurricane,Deathblade,,,,,,,,,,,,,,,,,,,,,1.0,RabadonsDeathcap,,
1,NA1_4376000593,TFT6_Augment_SunfireBoard,TFT6_Augment_SecondWind2,TFT6_Augment_ComponentGrabBag,0.0,,1.0,,1.0,,1.0,0.0,1.0,0.0,1.0,,,,0.0,1.0,,1.0,,,1.0,,,,,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,2.0,MadredsBloodrazor,UnstableConcoction,InfinityEdge,,,,,,,,,2.0,Redemption,GargoyleStoneplate,WarmogsArmor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ShimmerscaleGamblersBlade,LastWhisper,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FrozenHeart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,JeweledGauntlet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,TrainerSnax,None,None,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,WarmogsArmor,DragonsClaw,SeraphsEmbrace,,,,,,,,
5,NA1_4375943845,TFT6_Augment_ThrillOfTheHunt2,TFT7_Augment_LastStand,TFT7_Augment_BestFriends3,,1.0,,1.0,,,,,0.0,,1.0,0.0,,1.0,,1.0,,,,,,,1.0,1.0,,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,3.0,WarmogsArmor,Redemption,RedBuff,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,3.0,Chalice,ArchangelsStaff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,2.0,ThiefsGloves,TearOfTheGoddess,FrozenHeart,,,,,,,,,,,,,,,,,1.0,TrainerSnax,None,None,,,,,2.0,ZekesHerald,,,3.0,GuinsoosRageblade,Deathblade,RunaansHurricane,,,,,,,,,,,,,,,,,,,,,,,,
1,NA1_4375943845,TFT7_Augment_AssassinEmblem,TFT6_Augment_SunfireBoard,TFT7_Augment_ScalescornEmblem2,3.0,,,1.0,,,,,,0.0,1.0,,0.0,,,,0.0,,2.0,,0.0,,,,1.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ChainVest,,,,,,,2.0,FrozenHeart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,AssassinEmblemItem,RunaansHurricane,InfinityEdge,2.0,ThiefsGloves,,,1.0,InfinityEdge,ScalescornEmblemItem,MadredsBloodrazor,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ZekesHerald,PowerGauntlet,,,,,,,,,,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,NA1_4375943845,TFT6_Augment_Meditation2,TFT6_Augment_Diversify2,TFT7_Augment_CavalierEmblem2,,,,0.0,,1.0,1.0,,1.0,0.0,1.0,,,1.0,,0.0,0.0,0.0,,,,,,,1.0,1.0,,1.0,,,,,,,,,2.0,SpearOfShojin,UnstableConcoction,ArchangelsStaff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Redemption,RedBuff,Bloodthirster,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Morellonomicon,StatikkShiv,,,,,,,,,,2.0,IonicSpark,RedBuff,CavalierEmblemItem,,,,,,,,,,,,,1.0,,,,3.0,TrainerSnax,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,NA1_4375943845,TFT7_Augment_CavalierEmblem,TFT6_Augment_ThrillOfTheHunt2,TFT6_Augment_CyberneticImplants3,1.0,,,1.0,,2.0,,,,,3.0,,0.0,,,,1.0,,,,,,,1.0,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,SpearOfShojin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,ArchangelsStaff,,,,,,,2.0,FrozenHeart,,,,,,,2.0,Zephyr,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,CavalierEmblemItem,RedBuff,RunaansHurricane,,,,,,,,,,,None,None,,,,,2.0,,,,,,,,,,,,,,,,2.0,GuinsoosRageblade,Quicksilver,TitansResolve,,,,,,,,,,,,
7,NA1_4375943845,TFT6_Augment_TradeSector,TFT6_Augment_Diversify2,TFT6_Augment_WindfallPlusPlus,,0.0,1.0,1.0,,,1.0,0.0,,,1.0,,0.0,1.0,0.0,1.0,,,,,0.0,1.0,,,2.0,,0.0,0.0,,,,,,,,,1.0,ArchangelsStaff,HextechGunblade,SpearOfShojin,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,RedBuff,WarmogsArmor,IonicSpark,,,,,,,,,,,,,,,,,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,1.0,Shroud,,,,,,,1.0,Chalice,,
4,NA1_4375943845,TFT6_Augment_TrueTwos,TFT6_Augment_ComponentGrabBag,TFT6_Augment_CyberneticImplants3,1.0,,,2.0,,,1.0,,,,1.0,,0.0,0.0,,,0.0,,,,,,,,1.0,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,GuinsoosRageblade,Deathblade,InfinityEdge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,IonicSpark,Zephyr,,1.0,SparringGloves,,,2.0,Zephyr,,,,,,,,,,,,,,,,,,,2.0,ZekesHerald,,,,,,,,,,,,,,,,,,,,,,,2.0,PowerGauntlet,,,,,,,2.0,RedBuff,RunaansHurricane,,,,,,,,,,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,NA1_4375943845,TFT6_Augment_SunfireBoard,TFT7_Augment_CannoneerHotShot,TFT6_Augment_ForceOfNature,,,,1.0,2.0,,,,1.0,,,,,0.0,,0.0,0.0,3.0,,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,MadredsBloodrazor,StatikkShiv,InfinityEdge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ChainVest,,,,,,,,,,,2.0,SpearOfShojin,BrambleVest,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,4.0,TrainerSnax,None,None,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NA1_4375943845,TFT6_Augment_CelestialBlessing2,TFT7_Augment_MikaelsGift,TFT6_Augment_CyberneticImplants3,1.0,,,1.0,,0.0,,0.0,,,2.0,,0.0,,0.0,,1.0,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,LocketOfTheIronSolari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,ChainVest,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,2.0,LocketOfTheIronSolari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,RedBuff,,,,,,,,,,,,,None,None,,,,,2.0,Zephyr,,,,,,,,,,,,,,,2.0,GuinsoosRageblade,MadredsBloodrazor,Quicksilver,2.0,TitansResolve,GuardianAngel,,,,,,,,,
4,NA1_4376027043,TFT7_Augment_CavalierEmblem,TFT6_Augment_TinyTitans,TFT6_Augment_PortableForge,1.0,,1.0,1.0,,2.0,,,,0.0,3.0,,,0.0,,0.0,0.0,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,3.0,GiantsBelt,DragonsClaw,,,,,,2.0,CavalierEmblemItem,FrozenHeart,RedBuff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,IonicSpark,HextechGunblade,UnstableConcoction,,,,,,,,,,,,,,,,,,,,,2.0,RunaansHurricane,OrnnInfinityForce,Bloodthirster,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,InfinityEdge,,,,,,,,,,,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,NA1_4376027043,TFT6_Augment_Distancing2,TFT6_Augment_SecondWind1,TFT6_Augment_CelestialBlessing2,1.0,,,1.0,,0.0,,,,0.0,,,0.0,0.0,,,0.0,,2.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,3.0,IonicSpark,FrozenHeart,HextechGunblade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,MadredsBloodrazor,GuinsoosRageblade,Deathblade,1.0,TitanicHydra,GiantsBelt,Redemption,,,,,2.0,GuardianAngel,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NA1_4376027043,TFT6_Augment_TradeSector,TFT7_Augment_Preparation,TFT6_Augment_CyberneticUplink2,,0.0,1.0,1.0,0.0,,1.0,,1.0,,1.0,,,1.0,,3.0,,1.0,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,2.0,StatikkShiv,GuinsoosRageblade,UnstableConcoction,,,,,,,,,,,,,,,,,2.0,Bloodthirster,GuinsoosRageblade,UnstableConcoction,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,SparringGloves,MysticEmblemItem,Morellonomicon,,,,,,,,,3.0,FrozenHeart,RedBuff,GargoyleStoneplate,,,,,,,,,,,,,,,,,4.0,TrainerSnax,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,NA1_4376027043,TFT7_Augment_RagewingScorch,TFT6_Augment_ThrillOfTheHunt1,TFT7_Augment_ShapeshifterBeastsDen,,,,0.0,,,,2.0,,,1.0,1.0,0.0,,,,1.0,,,1.0,0.0,,,1.0,1.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,2.0,TitanicHydra,GuildEmblemItem,FrozenHeart,,,,,,,,,,,,,,,,,2.0,GargoyleStoneplate,RedBuff,TitanicHydra,,,,,,,,,,,,,2.0,WarmogsArmor,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,GuinsoosRageblade,StatikkShiv,Quicksilver,,,,,,,,,,,,,,,,,,,,,,,None,None,,,,,,,,,,,,,,,,,2.0,,,,2.0,RunaansHurricane,Deathblade,TitansResolve,,,,,,,,,,,,
6,NA1_4376027043,TFT6_Augment_ThreesCompany,TFT6_Augment_ThrillOfTheHunt1,TFT7_Augment_MirageEmblem,,,,,,0.0,1.0,,0.0,0.0,,1.0,0.0,,3.0,,,,,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,UnstableConcoction,MadredsBloodrazor,JeweledGauntlet,,,,,,,,,,,,,,,,,,,,,2.0,ZekesHerald,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,2.0,IonicSpark,MirageEmblemItem,,,,,,2.0,Deathblade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
